Date,Group,Event UUID,Attack Ids,Attribute Count,Related Events Count,Tags,Indicators,Ipaddress
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,207.154.202.192
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,138.197.195.62
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,209.97.134.125
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,104.248.153.44
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,159.89.43.72
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,159.223.109.133
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,134.209.170.133
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,94.140.114.143
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,134.209.107.62
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,137.184.94.136
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,94.140.114.184
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,164.92.104.194
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,172.67.152.66
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,104.21.1.144
Jan 23 2023,Indicator,00000-00000-0000-00000,,1,,source:nodistribute | malware:icedid | malware:bokbot | event:observation,domain,143.198.92.88
